ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-A8-A083-01	2403.11	1372.3	3775.41
TCGA-A8-A084-01	3204.92	1591.12	4796.04
TCGA-A8-A085-01	3335.24	438.32	3773.56
TCGA-A8-A086-01	3745.6	1996.09	5741.68
TCGA-A8-A08A-01	3512.3	2619.39	6131.69
TCGA-A8-A08B-01	2756.15	2296.19	5052.33
TCGA-A8-A08C-01	3135.73	1803.75	4939.48
TCGA-A8-A08F-01	3658.01	3400.58	7058.59
TCGA-A8-A08G-01	3449.6	2462.32	5911.93
TCGA-A8-A08I-01	2905.73	3916.47	6822.2
TCGA-A8-A08J-01	3587.59	2483.89	6071.49
TCGA-A8-A08L-01	3291.67	2856.58	6148.24
TCGA-A8-A08O-01	3748.67	1438.65	5187.32
TCGA-A8-A08P-01	3900.94	3706.06	7607
TCGA-A8-A08R-01	3561.66	3362.84	6924.5
TCGA-A8-A08S-01	3171.58	2049.22	5220.81
TCGA-A8-A08T-01	3412.13	2086.3	5498.43
TCGA-A8-A08X-01	3915.54	3309.92	7225.46
TCGA-A8-A08Z-01	4173.76	3371.39	7545.16
TCGA-A8-A090-01	3712.96	3012.2	6725.16
TCGA-A8-A091-01	3374.33	2147.28	5521.62
TCGA-A8-A092-01	3140.37	2306.21	5446.58
TCGA-A8-A093-01	3510.71	1290.18	4800.89
TCGA-A8-A094-01	3634.27	3360.77	6995.03
TCGA-A8-A096-01	3953.12	3538.21	7491.33
TCGA-A8-A097-01	3932.57	2655.38	6587.95
TCGA-A8-A099-01	3130.99	2193.84	5324.83
TCGA-A8-A09A-01	3775.99	2515.87	6291.86
TCGA-A8-A09B-01	3626.78	1989.74	5616.53
TCGA-A8-A09C-01	3433.27	1333.45	4766.72
TCGA-A8-A09D-01	4015.65	2929.45	6945.09
TCGA-A8-A09E-01	2991.49	1367.2	4358.69
TCGA-A8-A09G-01	3192.56	3059.87	6252.43
TCGA-A8-A09I-01	3479.33	2891.54	6370.87
TCGA-A8-A09K-01	2469.68	2582.26	5051.95
TCGA-A8-A09M-01	3205.32	3135.13	6340.46
TCGA-A8-A09N-01	3399.94	2056.44	5456.37
TCGA-A8-A09Q-01	3670.12	3438.49	7108.6
TCGA-A8-A09R-01	3722.13	3007.73	6729.85
TCGA-A8-A09T-01	3514.68	2034.81	5549.49
TCGA-A8-A09V-01	3689.75	1368.42	5058.17
TCGA-A8-A09W-01	3388.3	2463.95	5852.26
TCGA-A8-A09X-01	3831.67	3565.73	7397.39
TCGA-A8-A09Z-01	2567.25	2909.7	5476.95
TCGA-A8-A0A1-01	3872.28	3624.36	7496.64
TCGA-A8-A0A2-01	3632.31	2511.39	6143.7
TCGA-A8-A0A4-01	3424.02	1552.92	4976.94
TCGA-A8-A0A6-01	3643.71	3514.81	7158.52
TCGA-A8-A0A7-01	4015.73	4263.95	8279.68
TCGA-A8-A0A9-01	3440.41	2227.76	5668.16
TCGA-A8-A0AB-01	3144.57	615.67	3760.24
TCGA-A8-A0AD-01	3852.74	2830.76	6683.49
TCGA-AN-A03X-01	4038.46	2463.19	6501.65
TCGA-AN-A03Y-01	3252.11	2243.21	5495.31
TCGA-AN-A041-01	3728.76	2168.11	5896.87
TCGA-AN-A046-01	3733.14	3291.15	7024.29
TCGA-AN-A049-01	3767.05	2743.6	6510.64
TCGA-AN-A04A-01	3802.59	2051.51	5854.1
TCGA-AN-A04C-01	2710.06	1847.92	4557.98
TCGA-AN-A04D-01	2108.06	311.46	2419.53
TCGA-AN-A0AJ-01	3447.85	3295.01	6742.86
TCGA-AN-A0AK-01	2795.23	2057.01	4852.24
TCGA-AN-A0AL-01	3705.5	3031.71	6737.21
TCGA-AN-A0AM-01	3480.35	2774.96	6255.31
TCGA-AN-A0AR-01	2334.82	929.19	3264.01
TCGA-AN-A0AS-01	3680.23	2731.66	6411.89
TCGA-AN-A0AT-01	2881.46	2615.97	5497.43
TCGA-AN-A0FD-01	3790.05	2191.9	5981.95
TCGA-AN-A0FF-01	3680.92	2875.11	6556.03
TCGA-AN-A0FJ-01	3204.52	1856.77	5061.29
TCGA-AN-A0FK-01	3264.73	1887.61	5152.35
TCGA-AN-A0FL-01	2063.7	1027.73	3091.44
TCGA-AN-A0FN-01	4423.57	3732.08	8155.64
TCGA-AN-A0FS-01	3846.42	1612.21	5458.63
TCGA-AN-A0FT-01	3520.72	2090.01	5610.74
TCGA-AN-A0FV-01	3382.14	1469.7	4851.84
TCGA-AN-A0FW-01	3479.15	2057.94	5537.08
TCGA-AN-A0FX-01	3742.98	1841.02	5584
TCGA-AN-A0FY-01	3662.06	1778.37	5440.43
TCGA-AN-A0FZ-01	3342.98	1214.37	4557.35
TCGA-AN-A0XL-01	3940.39	2118.02	6058.41
TCGA-AN-A0XN-01	4207.61	3316.68	7524.28
TCGA-AN-A0XO-01	3537.25	886.75	4424
TCGA-AN-A0XP-01	3448.81	1970.37	5419.18
TCGA-AN-A0XR-01	2927.01	1209.11	4136.12
TCGA-AN-A0XS-01	3974.75	3127.58	7102.34
TCGA-AN-A0XT-01	3295.42	1613.88	4909.3
TCGA-AN-A0XU-01	2677.24	2625.39	5302.63
TCGA-AN-A0XV-01	3755.63	2483.15	6238.77
TCGA-AN-A0XW-01	4113.66	3718.6	7832.27
TCGA-AO-A03L-01	3749.68	2723.05	6472.73
TCGA-AO-A03M-01	3397.29	3334.45	6731.74
TCGA-AO-A03N-01	3310.56	1275.1	4585.66
TCGA-AO-A03O-01	3010.18	2812.81	5822.99
TCGA-AO-A03P-01	3096.12	1539.77	4635.9
TCGA-AO-A03R-01	3236.54	2802.01	6038.56
TCGA-AO-A03T-01	3032.78	2105.18	5137.95
TCGA-AO-A03U-01	3860.71	3636.73	7497.44
TCGA-AO-A03V-01	3356.42	1734.52	5090.94
TCGA-AO-A0J2-01	2977.67	2690.43	5668.09
TCGA-AO-A0J3-01	1935.91	953.59	2889.5
TCGA-AO-A0J4-01	3472.37	3410.92	6883.29
TCGA-AO-A0J5-01	4013.99	2251.03	6265.02
TCGA-AO-A0J6-01	2208.04	3038.39	5246.43
TCGA-AO-A0J7-01	2812.11	1119.35	3931.46
TCGA-AO-A0J8-01	3568.54	2778.1	6346.64
TCGA-AO-A0J9-01	3897.86	3214.02	7111.87
TCGA-AO-A0JA-01	3916.18	2814.15	6730.33
TCGA-AO-A0JB-01	3058.82	1977.79	5036.61
TCGA-AO-A0JD-01	2639.6	2315.49	4955.09
TCGA-AO-A0JE-01	4090.43	3427.28	7517.7
TCGA-AO-A0JF-01	4217.67	3123.26	7340.93
TCGA-AO-A0JG-01	3799.02	3115.72	6914.75
TCGA-AO-A0JI-01	2809	1679.93	4488.93
TCGA-AO-A0JJ-01	4030.26	3481.93	7512.19
TCGA-AO-A0JL-01	2855.95	1471.23	4327.19
TCGA-AO-A0JM-01	3746.81	2279.19	6026
TCGA-AO-A124-01	2303.84	2237.15	4540.99
TCGA-AO-A125-01	1481.87	838.2	2320.07
TCGA-AO-A126-01	3809.84	2157.45	5967.29
TCGA-AO-A128-01	3320.26	4479.92	7800.18
TCGA-AO-A129-01	3532.24	3396.44	6928.69
TCGA-AO-A12A-01	3718.26	2603.5	6321.76
TCGA-AO-A12B-01	2581.23	1452.79	4034.03
TCGA-AO-A12D-01	3850.29	3471.99	7322.28
TCGA-AO-A12E-01	3708.43	2683.8	6392.23
TCGA-AO-A12F-01	3412.39	1460.02	4872.41
TCGA-AO-A12G-01	3743.56	2024.1	5767.66
TCGA-AQ-A04H-01	3071.32	1752.42	4823.74
TCGA-AQ-A04J-01	3822.58	3686.25	7508.83
TCGA-AQ-A04L-01	3353.81	1694.88	5048.69
TCGA-AR-A0TP-01	2344.31	903.12	3247.43
TCGA-AR-A0TQ-01	3632.84	3257.87	6890.72
TCGA-AR-A0TR-01	1756.4	1623.89	3380.29
TCGA-AR-A0TS-01	3718.05	3939.27	7657.31
TCGA-AR-A0TT-01	4003.16	4162.48	8165.63
TCGA-AR-A0TU-01	2310.74	2957.2	5267.94
TCGA-AR-A0TV-01	2907.88	3052.25	5960.14
TCGA-AR-A0TW-01	3337.61	3182.67	6520.28
TCGA-AR-A0TX-01	3843.1	3530.89	7373.99
TCGA-AR-A0TY-01	3067.18	1457.13	4524.31
TCGA-AR-A0TZ-01	3297.51	1631.41	4928.92
TCGA-AR-A0U0-01	3165.54	3405.85	6571.39
TCGA-AR-A0U1-01	3359.37	2607.11	5966.48
TCGA-AR-A0U2-01	3020.09	2612.55	5632.63
TCGA-AR-A0U3-01	2824.73	2153.31	4978.04
TCGA-AR-A0U4-01	3266.99	3897.11	7164.11
TCGA-AR-A1AH-01	2739.07	974.07	3713.14
TCGA-AR-A1AI-01	2668.78	3569.75	6238.53
TCGA-AR-A1AJ-01	3852.87	4163.99	8016.86
TCGA-AR-A1AK-01	3812.71	3494.35	7307.06
TCGA-AR-A1AL-01	4078.33	2706.13	6784.46
TCGA-AR-A1AN-01	3806.88	2704.01	6510.9
TCGA-AR-A1AP-01	3609.15	2779.32	6388.46
TCGA-AR-A1AQ-01	3626.16	3688.55	7314.72
TCGA-AR-A1AR-01	3930.38	3889.14	7819.52
TCGA-AR-A1AS-01	2954.3	1424.99	4379.29
TCGA-AR-A1AU-01	3656.92	2123.44	5780.36
TCGA-AR-A1AV-01	3900.63	4403.97	8304.6
TCGA-AR-A1AW-01	3304.63	1900.72	5205.35
TCGA-AR-A1AX-01	3928.1	3913.13	7841.23
TCGA-AR-A1AY-01	2960.39	1906.84	4867.23
TCGA-B6-A0I2-01	2717.6	3429.97	6147.56
TCGA-B6-A0I5-01	3428.93	2177.89	5606.81
TCGA-B6-A0I9-01	3249.31	2279.49	5528.81
TCGA-B6-A0IA-01	2066.75	892.48	2959.23
TCGA-B6-A0IB-01	2708.81	723.68	3432.49
TCGA-B6-A0IC-01	1434.52	1140.3	2574.83
TCGA-B6-A0IE-01	3328.05	1204.23	4532.28
TCGA-B6-A0IG-01	3102.12	1606.1	4708.22
TCGA-B6-A0IH-01	3995.57	3017.06	7012.64
TCGA-B6-A0IJ-01	2780	3673.07	6453.07
TCGA-B6-A0IK-01	3102.45	2030.71	5133.16
TCGA-B6-A0IM-01	3663.75	1990.32	5654.07
TCGA-B6-A0IN-01	3716.65	3007.69	6724.33
TCGA-B6-A0IO-01	2692.15	1926.31	4618.46
TCGA-B6-A0IP-01	3428.14	2282.55	5710.69
TCGA-B6-A0IQ-01	2456.81	2043.91	4500.72
