ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-CN-A497-01	-506.78	22.08	-484.7
TCGA-CN-A498-01	-1074.94	58.5	-1016.45
TCGA-CN-A499-01	-861	1103.29	242.29
TCGA-CN-A49A-01	-199.8	-920.89	-1120.69
TCGA-CN-A49B-01	-326.04	1140.23	814.19
TCGA-CN-A49C-01	-1700.1	-3	-1703.1
TCGA-CN-A63T-01	-336.22	754.34	418.12
TCGA-CN-A63U-01	-1670.55	-819.9	-2490.45
TCGA-CN-A63V-01	444.85	-53.76	391.09
TCGA-CN-A63W-01	-1161.7	-247.04	-1408.74
TCGA-CN-A641-01	-1303.97	-380.73	-1684.7
TCGA-CN-A642-01	-496.93	701.22	204.29
TCGA-CN-A6UY-01	-1322.27	1236.12	-86.15
TCGA-CN-A6V1-01	-461.6	2996.94	2535.34
TCGA-CN-A6V3-01	-1033.29	508.03	-525.26
TCGA-CN-A6V6-01	-649.32	1328.58	679.26
TCGA-CN-A6V7-01	-2151.01	-196.47	-2347.48
TCGA-CQ-5323-01	-813.32	222.86	-590.47
TCGA-CQ-5324-01	-327.92	324.84	-3.08
TCGA-CQ-5325-01	755.55	2060.92	2816.47
TCGA-CQ-5326-01	-188.88	630.62	441.75
TCGA-CQ-5327-01	-286.81	1272.18	985.37
TCGA-CQ-5329-01	341.51	845.42	1186.92
TCGA-CQ-5330-01	816.7	1343.13	2159.83
TCGA-CQ-5331-01	-77.8	1468.26	1390.46
TCGA-CQ-5332-01	37.97	-325.09	-287.12
TCGA-CQ-5333-01	61.36	2004.5	2065.85
TCGA-CQ-5334-01	631.3	1330.55	1961.86
TCGA-CQ-6218-01	-178.44	490.76	312.32
TCGA-CQ-6219-01	388.36	1232.96	1621.33
TCGA-CQ-6220-01	-870.82	231.2	-639.63
TCGA-CQ-6221-01	1065.92	330.52	1396.44
TCGA-CQ-6222-01	-25.88	1566.67	1540.79
TCGA-CQ-6223-01	-976.43	429.1	-547.33
TCGA-CQ-6224-01	1019.27	814.97	1834.23
TCGA-CQ-6225-01	-2080.72	-794.34	-2875.05
TCGA-CQ-6227-01	443.76	136.52	580.28
TCGA-CQ-6228-01	-520.28	-309.4	-829.67
TCGA-CQ-6229-01	-372.87	308.52	-64.36
TCGA-CQ-7063-01	-436.35	1408.35	972
TCGA-CQ-7065-01	-1193.15	-879.47	-2072.62
TCGA-CQ-7067-01	-411.36	332.12	-79.24
TCGA-CQ-7068-01	-746.67	1448.25	701.58
TCGA-CQ-7069-01	-371.4	-35.44	-406.85
TCGA-CQ-7071-01	-122.75	598.1	475.35
TCGA-CQ-7072-01	591.66	-162.51	429.15
TCGA-CQ-A4C6-01	-265.17	509.15	243.99
