ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-A2-A3XU-01	-1331.32	-1104.34	-2435.66
TCGA-A2-A3XV-01	29.14	-73.03	-43.9
TCGA-A2-A3XW-01	486.77	787.91	1274.68
TCGA-A2-A3XX-01	-77	180.69	103.7
TCGA-A2-A3XY-01	990.9	950.79	1941.69
TCGA-A2-A3XZ-01	-122.69	1344.32	1221.63
TCGA-A2-A3Y0-01	-538.28	853.18	314.91
TCGA-A2-A4RW-01	596.39	-75.56	520.84
TCGA-A2-A4RX-01	963.21	224.14	1187.35
TCGA-A2-A4RY-01	778.56	183.49	962.05
TCGA-A2-A4S0-01	-638.84	-716.3	-1355.14
TCGA-A2-A4S1-01	1468.58	1482.87	2951.45
TCGA-A2-A4S2-01	552.52	764.4	1316.92
TCGA-A2-A4S3-01	-163.58	378.12	214.55
TCGA-A7-A0CD-01	-68.85	-733.57	-802.42
TCGA-A7-A0CE-01	-522.95	-580.55	-1103.49
TCGA-A7-A0CG-01	1132.01	839.09	1971.1
TCGA-A7-A0CH-01	239.09	-495.69	-256.59
TCGA-A7-A0CJ-01	-564.68	-528.54	-1093.22
TCGA-A7-A0D9-01	-5.99	-907.22	-913.21
TCGA-A7-A0DA-01	322.26	-521.03	-198.77
TCGA-A7-A0DB-01	746.24	217.72	963.97
TCGA-A7-A13D-01	-136.46	-740.09	-876.54
TCGA-A7-A13E-01	-317.31	-875.75	-1193.06
TCGA-A7-A13F-01	-40.04	-273.79	-313.83
TCGA-A7-A13G-01	-296.79	-856.17	-1152.96
TCGA-A7-A13H-01	635.21	1037.45	1672.67
TCGA-A7-A26E-01	794.5	-258.04	536.46
TCGA-A7-A26F-01	959.36	726.35	1685.71
TCGA-A7-A26G-01	1546.49	816.68	2363.16
TCGA-A7-A26H-01	900.01	289.69	1189.7
TCGA-A7-A26I-01	783.72	-68.89	714.83
TCGA-A7-A26J-01	660.39	-89.11	571.28
TCGA-A7-A2KD-01	774.3	556.41	1330.71
TCGA-A7-A3IY-01	762.73	926.08	1688.82
TCGA-A7-A3IZ-01	-522.49	-549.2	-1071.69
TCGA-A7-A3J0-01	-796.36	-135.07	-931.44
TCGA-A7-A3J1-01	817.99	1195.31	2013.3
TCGA-A7-A3RF-01	-385.89	-914.29	-1300.18
TCGA-A7-A425-01	686.94	435.84	1122.78
TCGA-A7-A426-01	603.19	-54.18	549.01
TCGA-A7-A4SA-01	697.42	1056.36	1753.78
TCGA-A7-A4SB-01	56.26	-789.99	-733.73
TCGA-A7-A4SC-01	666.41	110.1	776.51
TCGA-A7-A4SD-01	349.33	828.8	1178.13
TCGA-A7-A4SE-01	614.88	-143.42	471.46
TCGA-A7-A4SF-01	-307.99	-190.34	-498.33
TCGA-A7-A56D-01	721.47	555.22	1276.68
TCGA-A7-A5ZV-01	-434.88	83.58	-351.29
TCGA-A7-A5ZW-01	1177.05	166.11	1343.16
TCGA-A7-A5ZX-01	672.58	-513.41	159.16
TCGA-A7-A6VV-01	804.81	491.18	1296
TCGA-A7-A6VW-01	-243.09	272.46	29.37
TCGA-A7-A6VX-01	471.68	-299.3	172.38
TCGA-A7-A6VY-01	402.69	928.99	1331.68
TCGA-A8-A06N-01	-1654.06	-956.23	-2610.28
TCGA-A8-A06O-01	338.75	-67.76	270.99
TCGA-A8-A06P-01	1212.76	11.02	1223.79
TCGA-A8-A06Q-01	-1162.51	-885.77	-2048.28
TCGA-A8-A06R-01	951.37	448.06	1399.43
TCGA-A8-A06T-01	181.49	-65.58	115.91
TCGA-A8-A06U-01	-246.76	100.38	-146.38
TCGA-A8-A06X-01	125.65	12.88	138.53
TCGA-A8-A06Y-01	-947.88	-917.91	-1865.79
TCGA-A8-A06Z-01	-770.24	-578.96	-1349.2
TCGA-A8-A075-01	474.97	467.85	942.82
TCGA-A8-A076-01	727.76	68.49	796.26
TCGA-A8-A079-01	-428.48	-244.84	-673.33
TCGA-A8-A07B-01	511.93	-417.84	94.09
TCGA-A8-A07C-01	-39.64	296.22	256.58
TCGA-A8-A07E-01	1311.17	275.71	1586.88
TCGA-A8-A07F-01	321.46	13.65	335.11
TCGA-A8-A07G-01	1093.36	20.73	1114.09
TCGA-A8-A07I-01	932.72	321.79	1254.51
TCGA-A8-A07J-01	1649.58	1075.09	2724.67
TCGA-A8-A07L-01	88.58	-834.61	-746.03
TCGA-A8-A07O-01	-411.82	213.78	-198.04
TCGA-A8-A07P-01	367.59	-55.76	311.83
TCGA-A8-A07R-01	-785.39	-654.58	-1439.98
TCGA-A8-A07S-01	35.23	-251.61	-216.38
TCGA-A8-A07U-01	731.24	1861.69	2592.94
TCGA-A8-A07W-01	258.41	99.08	357.49
TCGA-A8-A07Z-01	-431.03	100.39	-330.65
TCGA-A8-A081-01	-471.76	631.25	159.49
TCGA-A8-A082-01	177.17	-82.99	94.18
TCGA-A8-A083-01	-934.11	-622.65	-1556.76
